edited_start_frame,edited_start_time_ms,edited_end_frame,edited_end_time_ms,original_video_name,original_start_frame,original_start_time_ms,original_end_frame,original_end_time_ms
3780,157657,3842,160243,original,100070,4173752,100132,4176338
3843,160285,3864,161161,original,84652,3530693,84673,3531570
3865,161202,3952,164831,original,84876,3540036,84963,3543664
3953,164873,3997,166708,original,86101,3591128,86145,3592963
3998,166749,4035,168293,original,106363,4436222,106400,4437766
4036,168334,4068,169669,original,106462,4440353,106494,4441686
4069,169711,4103,171129,original,107126,4468046,107160,4469465
4104,171170,4136,172505,original,96363,4019139,96395,4020474
4137,172547,4183,174465,original,96456,4023018,96502,4024938
4184,174507,4207,175466,original,96566,4027606,96589,4028565
4208,175508,4290,178928,original,113130,4718463,113212,4721884
4291,178970,4301,179387,original,113260,4723886,113270,4724302
4302,179429,4319,180138,original,113723,4743197,113740,4743905
4320,180180,4346,181264,original,114163,4761547,114189,4762632
4347,181306,4376,182515,original,114268,4765927,114297,4767136
4377,182557,4393,183224,original,110766,4619864,110782,4620533
4394,183266,4453,185727,original,133292,5559386,133351,5561847
4454,185768,4477,186728,original,133557,5570439,133580,5571399
4478,186769,4545,189564,original,133684,5575737,133751,5578530
4546,189606,4636,193359,original,133966,5587498,134056,5591252
4637,193401,4701,196070,original,141088,5884545,141152,5887215
4702,196112,4745,197906,original,141702,5910154,141745,5911948
4746,197947,4785,199574,original,141808,5914574,141847,5916202
4786,199616,4852,202368,original,141896,5918246,141962,5920997
4853,202410,5049,210585,original,142451,5941394,142647,5949569
5050,210627,5081,211920,original,149445,6233101,149476,6234395
5082,211961,5112,213212,original,149010,6214958,149040,6216210
5113,213254,5164,215381,original,153643,6408193,153694,6410320
5165,215423,5201,216925,original,153983,6422373,154019,6423876
5202,216966,5231,218176,original,154047,6425043,154076,6426252
5232,218217,5284,220386,original,154957,6462997,155009,6465167
5285,220428,5335,222513,original,155398,6481391,155448,6483476
5336,222555,5378,224307,original,156779,6538990,156821,6540743
5379,224349,5436,226726,original,157156,6554715,157213,6557091
5437,226768,5495,229187,original,157360,6563222,157418,6565641
5496,229229,5550,231481,original,157517,6569771,157571,6572024
5551,231522,5552,231564,original,159014,6632208,159015,6632251
5553,231606,5554,231648,original,159017,6632333,159018,6632376
5555,231689,5555,231689,original,159018,6632376,159018,6632376
5556,231731,5557,231773,original,159020,6632458,159021,6632501
5558,231814,5558,231814,original,159021,6632501,159021,6632501
5559,231856,5564,232065,original,159023,6632583,159028,6632792
5565,232106,5566,232148,original,159028,6632792,159029,6632835
5567,232190,5567,232190,original,159031,6632917,159031,6632917
5568,232231,5569,232273,original,159031,6632917,159032,6632960
5570,232315,5571,232357,original,159034,6633042,159035,6633085
5572,232398,5573,232440,original,159035,6633085,159036,6633127
5574,232482,5574,232482,original,159038,6633210,159038,6633210
5575,232523,5576,232565,original,159038,6633210,159039,6633252
5577,232607,5616,234234,original,158286,6601845,158325,6603471
5617,234275,5664,236235,original,160141,6679213,160188,6681175
5665,236277,5720,238571,original,160520,6695021,160575,6697315
5721,238613,5850,243993,original,160650,6700444,160779,6705823
5851,244035,5893,245787,original,160861,6709243,160903,6710996
5894,245828,5969,248957,original,162327,6770389,162402,6773516
5970,248998,6016,250917,original,162503,6777729,162549,6779648
6017,250959,6185,257966,original,163216,6807466,163384,6814474
6186,258007,6318,263513,original,164157,6846715,164289,6852220
6319,263554,6368,265598,original,164566,6863774,164615,6865817
6369,265640,6500,271104,original,165846,6917159,165977,6922623
6501,271145,6564,273773,original,50839,2120409,50902,2123038
6565,273815,6575,274232,original,125089,5217253,125099,5217671
6576,274274,6576,274274,original,125101,5217753,125101,5217753
6577,274315,6578,274357,original,125101,5217753,125102,5217796
6579,274399,6579,274399,original,125104,5217878,125104,5217878
6580,274440,6581,274482,original,125104,5217878,125105,5217921
6582,274524,6582,274524,original,125107,5218003,125107,5218003
6583,274565,6592,274941,original,125107,5218003,125116,5218380
6593,274983,6633,276651,original,125137,5219256,125177,5220923
6634,276693,6660,277777,original,78534,3275521,78560,3276606
6661,277819,6692,279112,original,89087,3715670,89118,3716963
6693,279153,6733,280822,original,91777,3827865,91817,3829534
6734,280863,6778,282699,original,122524,5110271,122568,5112106
6779,282740,6809,283992,original,72805,3036574,72835,3037826
6810,284033,6845,285493,original,63689,2656362,63724,2657822
6846,285535,6898,287704,original,79443,3313434,79495,3315603
6899,287745,6937,289330,original,120914,5043121,120952,5044706
6938,289372,6958,290206,original,105432,4397393,105452,4398226
6959,290248,6986,291374,original,105606,4404649,105633,4405775
6987,291416,7008,292291,original,51368,2142474,51389,2143349
7009,292333,7034,293376,original,33061,1378919,33086,1379961
7035,293418,7053,294168,original,110874,4624369,110892,4625121
7054,294210,7077,295169,original,125883,5250369,125906,5251328
7078,295211,7089,295670,original,59989,2502041,60000,2502500
